2024-11-04 15:37:03.484 -05:00 [INF] Log output directed to D:\Projects\Git\MAAS_PhotonInfluenceMatrixCalc\Source_C#\bin\release\logs\influence-matrix-2024-11-04@15-37-03.txt
2024-11-04 15:37:07.371 -05:00 [INF] Opening Patient "LUNG1-005"
2024-11-04 15:37:07.430 -05:00 [INF] Opening Plan "Data / HPTest_1031_2"
2024-11-04 15:37:10.827 -05:00 [INF] HPTest_1031_2 found.
2024-11-04 15:37:15.910 -05:00 [INF] Results will be written to: D:\Projects\Git\MAAS_PhotonInfluenceMatrixCalc\Source_C#\NSCLC_LUNG1-005$LUNG1-005\HPTest_1031_2
2024-11-04 15:38:42.970 -05:00 [INF] Progress: Beamlet 10/595.
2024-11-04 15:38:55.538 -05:00 [INF] Progress: Dose calculation completed.
2024-11-04 15:38:55.639 -05:00 [INF] Progress: GetDosePoints completed.
2024-11-04 15:38:55.792 -05:00 [INF] Progress: GetDosePoints completed.
2024-11-04 15:38:55.951 -05:00 [INF] Progress: GetDosePoints completed.
2024-11-04 15:38:56.099 -05:00 [INF] Progress: GetDosePoints completed.
2024-11-04 15:38:56.244 -05:00 [INF] Progress: GetDosePoints completed.
2024-11-04 15:38:56.390 -05:00 [INF] Progress: GetDosePoints completed.
2024-11-04 15:38:56.544 -05:00 [INF] Progress: GetDosePoints completed.
2024-11-04 15:38:56.699 -05:00 [INF] Progress: GetDosePoints completed.
2024-11-04 15:38:56.853 -05:00 [INF] Progress: GetDosePoints completed.
2024-11-04 15:38:56.998 -05:00 [INF] Progress: GetDosePoints completed.
2024-11-04 15:38:57.158 -05:00 [INF] Progress: Beamlet 20/595.
2024-11-04 15:39:06.031 -05:00 [INF] Progress: Dose calculation completed.
2024-11-04 15:39:06.040 -05:00 [INF] Progress: GetDosePoints completed.
2024-11-04 15:39:06.191 -05:00 [INF] Progress: GetDosePoints completed.
2024-11-04 15:39:06.342 -05:00 [INF] Progress: GetDosePoints completed.
2024-11-04 15:39:06.500 -05:00 [INF] Progress: GetDosePoints completed.
2024-11-04 15:39:06.657 -05:00 [INF] Progress: GetDosePoints completed.
2024-11-04 15:39:06.807 -05:00 [INF] Progress: GetDosePoints completed.
2024-11-04 15:39:06.955 -05:00 [INF] Progress: GetDosePoints completed.
2024-11-04 15:39:07.100 -05:00 [INF] Progress: GetDosePoints completed.
2024-11-04 15:39:07.243 -05:00 [INF] Progress: GetDosePoints completed.
2024-11-04 15:39:07.392 -05:00 [INF] Progress: GetDosePoints completed.
2024-11-04 15:39:07.549 -05:00 [INF] Progress: Beamlet 30/595.
2024-11-04 15:39:14.145 -05:00 [INF] Progress: Dose calculation completed.
2024-11-04 15:39:14.154 -05:00 [INF] Progress: GetDosePoints completed.
2024-11-04 15:39:14.307 -05:00 [INF] Progress: GetDosePoints completed.
2024-11-04 15:39:14.459 -05:00 [INF] Progress: GetDosePoints completed.
2024-11-04 15:39:14.612 -05:00 [INF] Progress: GetDosePoints completed.
2024-11-04 15:39:14.767 -05:00 [INF] Progress: GetDosePoints completed.
2024-11-04 15:39:14.916 -05:00 [INF] Progress: GetDosePoints completed.
2024-11-04 15:39:15.067 -05:00 [INF] Progress: GetDosePoints completed.
2024-11-04 15:39:15.211 -05:00 [INF] Progress: GetDosePoints completed.
2024-11-04 15:39:15.360 -05:00 [INF] Progress: GetDosePoints completed.
2024-11-04 15:39:15.622 -05:00 [INF] Progress: GetDosePoints completed.
2024-11-04 15:39:15.780 -05:00 [INF] Progress: Beamlet 40/595.
2024-11-04 15:39:22.360 -05:00 [INF] Progress: Dose calculation completed.
2024-11-04 15:39:22.371 -05:00 [INF] Progress: GetDosePoints completed.
2024-11-04 15:39:22.523 -05:00 [INF] Progress: GetDosePoints completed.
2024-11-04 15:39:22.674 -05:00 [INF] Progress: GetDosePoints completed.
2024-11-04 15:39:22.831 -05:00 [INF] Progress: GetDosePoints completed.
2024-11-04 15:39:22.980 -05:00 [INF] Progress: GetDosePoints completed.
2024-11-04 15:39:23.121 -05:00 [INF] Progress: GetDosePoints completed.
2024-11-04 15:39:23.268 -05:00 [INF] Progress: GetDosePoints completed.
2024-11-04 15:39:23.412 -05:00 [INF] Progress: GetDosePoints completed.
2024-11-04 15:39:23.565 -05:00 [INF] Progress: GetDosePoints completed.
2024-11-04 15:39:23.722 -05:00 [INF] Progress: GetDosePoints completed.
2024-11-04 15:39:23.879 -05:00 [INF] Progress: Beamlet 50/595.
2024-11-04 15:39:30.165 -05:00 [INF] Progress: Dose calculation completed.
2024-11-04 15:39:30.174 -05:00 [INF] Progress: GetDosePoints completed.
2024-11-04 15:39:30.319 -05:00 [INF] Progress: GetDosePoints completed.
2024-11-04 15:39:30.470 -05:00 [INF] Progress: GetDosePoints completed.
2024-11-04 15:39:30.625 -05:00 [INF] Progress: GetDosePoints completed.
2024-11-04 15:39:30.781 -05:00 [INF] Progress: GetDosePoints completed.
2024-11-04 15:39:30.929 -05:00 [INF] Progress: GetDosePoints completed.
2024-11-04 15:39:31.080 -05:00 [INF] Progress: GetDosePoints completed.
